#nodes m     n      k   CTF-def CTF-na  ScaLAPACK COSMA-unl COSMA-lim    grid
  1   5653  5653  56530  18.95   16.98   11.88     21.69     20.26       8   8  
  2   7994  7994  79940  17.72   18.20   8.80      20.65     19.48       8  16
  3   9791  9791  97910  17.06   14.81   11.76     17.62     17.64      12  16
  4  11306 11306 113060  16.60   16.99   10.60     18.50     19.36      16  16
  6  13847 13847 138470  17.16   15.82   10.74     15.22     18.55      16  24
  8  15989 15989 159890  17.99   19.12   6.48      18.54     18.86      16  32
  9  16959 16959 169590  14.56   14.23   10.04     19.59     15.49      24  24
 12  19582 19582 195820  16.12   15.61   9.78      18.22     18.19      24  32
 16  22612 22612 226120  17.50   17.03   9.61      18.35     17.50      32  32
 18  23983 23983 239830  13.22   15.05   9.10      15.49     18.29      32  36
 24  27694 27694 276940  18.40   16.87   7.68      15.19     17.91      32  48
 32  31978 31978 319780  15.53   16.76   4.45      17.72     17.42      32  64
 36  33918 33918 339180  16.62   15.38   8.01      17.11     15.57      48  48
 48  39165 39165 391650  16.57   16.96   6.90      18.28     17.47      48  64
 64  45224 45224 452240  14.32   14.37   7.05      17.32     14.53      64  64
 72  47967 47967 479670  11.57   11.59   7.58      17.02     17.25      64  72
 96  55388 55388 553880  18.14   15.03   5.46      17.50     16.95      64  96
128  63956 63956 639560  16.53   17.42   3.68      17.59     17.15      64 128
144  67836 67836 678360  16.12   13.77   6.79      16.60     12.24      96  96
192  78330 78330 783300  14.64   15.40   6.93      15.15     16.13      96 128
256  90448 90448 904480  16.13   15.48   5.92       0.00     15.82     128 128
