#nodes  m      n      k  CTF-def CTF-na ScaLAPACK COSMA-unl COSMA-lim   grid
  1    56530  5653  5653  12.19  12.59    10.32     21.90    19.26       8   8 
  2    79940  7994  7994  19.23  18.76    14.32     20.58    20.50       8  16
  3    97910  9791  9791  19.18  19.35    5.35      20.60    20.19      12  16
  4   113060 11306 11306  18.75  16.36    9.17      18.10    19.01      16  16
  6   138470 13847 13847  19.20  13.81    9.64      18.53    19.14      16  24
  8   159890 15989 15989  18.73  17.97    11.88     17.21    19.56      16  32
  9   169590 16959 16959  18.23  19.57    7.79      18.59    17.07      24  24
 12   195820 19582 19582  19.81  15.57    4.95      18.95    18.51      24  32
 16   226120 22612 22612  19.41  15.44    6.80      16.26    17.64      32  32
 18   239830 23983 23983  19.64  18.72    11.78     16.86    16.88      32  36
 24   276940 27694 27694  19.65  18.24    8.29      16.52    17.60      32  48
 32   319780 31978 31978  17.83  17.32    10.44     17.86    17.67      32  64
 36   339180 33918 33918  19.65  15.69    6.00      15.02    18.08      48  48
 48   391650 39165 39165  17.70  15.13    4.00      17.20    15.33      48  64
 64   452240 45224 45224  16.68  12.55    5.50      16.11    16.12      64  64
 72   479670 47967 47967  19.72  18.40    12.02     16.61    16.11      64  72
 96   553880 55388 55388  18.14  17.40    7.46      16.24    16.35      64  96
128   639560 63956 63956  18.48  15.51    10.21     15.32    17.03      64 128
144   678360 67836 67836  18.25  14.90    4.71      14.50    15.56      96  96
192   783300 78330 78330  17.70  15.47    2.72      16.72    16.04      96 128
256   904480 90448 90448  17.01  12.91    4.21       0.00    15.61     128 128
