#nodes  m     n      k   CTF-def CTF-na COSMA-unl COSMA-lim ScaLAPACK  grid
  1   23640  23640  2364  25.50  24.43    20.50     22.86     23.26     8   8 
  2   33440  33440  3344  23.63  19.36    18.51     21.26     21.29     8  16
  3   40960  40960  4096   6.76   6.77    19.70     17.96     14.17    12  16
  4   47290  47290  4729  23.22  19.49    9.69      20.79     19.89    16  16
  6   57920  57920  5792  20.49  17.25    18.30     18.65     17.58    16  24
  8   66880  66880  6688  22.26  18.15    17.22     18.66     17.66    16  32
  9   70940  70940  7094  23.73  20.22    8.67      19.64     18.46    24  24
 12   81920  81920  8192   6.63   6.48    17.89     12.49     13.30    24  32
 16   94590  94590  9459  22.60  20.60    8.17      18.82     18.14    32  32
 18  100330 100330 10033  21.63  18.43    16.56     16.56     18.63    32  36
 24  115850 115850 11585  19.17  16.69    15.88     16.67     16.34    32  48
 32  133770 133770 13377  20.25  18.14    15.47     17.37     17.66    32  64
 36  141880 141880 14188  21.71  19.85    6.50      15.08     15.48    48  48
 48  163840 163840 16384   6.48   6.54    15.60     12.13     12.73    48  64
 64  189180 189180 18918  20.28  21.21    5.82      16.18     17.54    64  64
 72  200660 200660 20066  19.64  19.89    14.97     16.45     17.52    64  72
 96  231700 231700 23170  17.39  20.48    15.06     16.13     16.46    64  96
128  267540 267540 26754  17.02  18.30    13.71     16.83     17.46    64 128
144  283770 283770 28377  20.24  20.53    4.53      16.60     15.62    96  96
192  327680 327680 32768   6.06   6.50    13.74     11.20     11.93    96 128
256  378370 378370 37837  18.70  20.27    4.52      16.21     16.68   128 128
